agent,iteration,layer1,layer2,decision, payoff, norm or self
agent040,1,18,0,18,18.0,self
agent041,1,35,0,35,35.0,self
agent042,1,16,0,16,16.0,self
agent043,1,20,0,20,20.0,self
agent044,1,7,0,7,7.0,self
agent045,1,43,0,43,43.0,self
agent046,1,37,0,37,37.0,self
agent047,1,19,0,19,19.0,self
agent048,1,20,0,20,20.0,self
agent049,1,39,0,39,39.0,self
agent04a,1,9,0,9,9.0,self
agent04b,1,24,0,24,24.0,self
agent04c,1,9,0,9,9.0,self
agent04d,1,29,0,29,29.0,self
agent04e,1,40,0,40,40.0,self
agent04f,1,5,0,5,5.0,self
agent050,1,37,0,37,37.0,self
agent051,1,34,0,34,34.0,self
agent052,1,37,0,37,37.0,self
agent053,1,39,0,39,39.0,self
agent054,1,12,0,12,12.0,self
agent055,1,10,0,10,10.0,self
agent056,1,3,0,3,3.0,self
agent057,1,17,0,17,17.0,self
agent058,1,41,0,41,41.0,self
agent059,1,16,0,16,16.0,self
agent05a,1,21,0,21,21.0,self
agent05b,1,29,0,29,29.0,self
agent05c,1,26,0,26,26.0,self
agent05d,1,6,0,6,6.0,self
agent05e,1,28,0,28,28.0,self
agent05f,1,17,0,17,17.0,self
agent060,1,41,0,41,41.0,self
agent061,1,17,0,17,17.0,self
agent062,1,18,0,18,18.0,self
agent063,1,15,0,15,15.0,self
agent064,1,30,0,30,30.0,self
agent065,1,34,0,34,34.0,self
agent066,1,22,0,22,22.0,self
agent067,1,16,0,16,16.0,self
agent068,1,39,0,39,39.0,self
agent069,1,20,0,20,20.0,self
agent06a,1,9,0,9,9.0,self
agent06b,1,27,0,27,27.0,self
agent06c,1,19,0,19,19.0,self
agent06d,1,27,0,27,27.0,self
agent06e,1,42,0,42,42.0,self
agent06f,1,37,0,37,37.0,self
agent070,1,6,0,6,6.0,self
agent071,1,38,0,38,38.0,self
agent072,1,7,0,7,7.0,self
agent073,1,36,0,36,36.0,self
agent074,1,41,0,41,41.0,self
agent075,1,13,0,13,13.0,self
agent076,1,40,0,40,40.0,self
agent077,1,34,0,34,34.0,self
agent078,1,23,0,23,23.0,self
agent079,1,26,0,26,26.0,self
agent07a,1,44,0,44,44.0,self
agent07b,1,23,0,23,23.0,self
agent07c,1,18,0,18,18.0,self
agent07d,1,15,0,15,15.0,self
agent07e,1,18,0,18,18.0,self
agent07f,1,10,0,10,10.0,self
agent080,1,17,0,17,17.0,self
agent081,1,32,0,32,32.0,self
agent082,1,41,0,41,41.0,self
agent083,1,6,0,6,6.0,self
agent084,1,24,0,24,24.0,self
agent085,1,10,0,10,10.0,self
agent086,1,26,0,26,26.0,self
agent087,1,32,0,32,32.0,self
agent088,1,22,0,22,22.0,self
agent089,1,39,0,39,39.0,self
agent08a,1,30,0,30,30.0,self
agent08b,1,22,0,22,22.0,self
agent08c,1,16,0,16,16.0,self
agent08d,1,20,0,20,20.0,self
agent08e,1,28,0,28,28.0,self
agent08f,1,21,0,21,21.0,self
agent090,1,33,0,33,33.0,self
agent091,1,35,0,35,35.0,self
agent092,1,28,0,28,28.0,self
agent093,1,39,0,39,39.0,self
agent094,1,36,0,36,36.0,self
agent095,1,39,0,39,39.0,self
agent096,1,27,0,27,27.0,self
agent097,1,45,0,45,45.0,self
agent098,1,34,0,34,34.0,self
agent099,1,16,0,16,16.0,self
agent09a,1,26,0,26,26.0,self
agent09b,1,12,0,12,12.0,self
agent09c,1,40,0,40,40.0,self
agent09d,1,44,0,44,44.0,self
agent09e,1,18,0,18,18.0,self
agent09f,1,3,0,3,3.0,self
agent0a0,1,42,0,42,42.0,self
agent0a1,1,28,0,28,28.0,self
agent0a2,1,4,0,4,4.0,self
agent0a3,1,44,0,44,44.0,self
agent0a4,1,36,0,36,36.0,self
agent0a5,1,40,0,40,40.0,self
agent0a6,1,30,0,30,30.0,self
agent0a7,1,43,0,43,43.0,self
agent0a8,1,35,0,35,35.0,self
agent0a9,1,41,0,41,41.0,self
agent0aa,1,36,0,36,36.0,self
agent0ab,1,5,0,5,5.0,self
agent0ac,1,24,0,24,24.0,self
agent0ad,1,22,0,22,22.0,self
agent0ae,1,36,0,36,36.0,self
agent0af,1,43,0,43,43.0,self
agent0b0,1,45,0,45,45.0,self
agent0b1,1,20,0,20,20.0,self
agent0b2,1,20,0,20,20.0,self
agent0b3,1,9,0,9,9.0,self
agent0b4,1,23,0,23,23.0,self
agent0b5,1,31,0,31,31.0,self
agent0b6,1,41,0,41,41.0,self
agent0b7,1,17,0,17,17.0,self
agent0b8,1,8,0,8,8.0,self
agent0b9,1,31,0,31,31.0,self
agent0ba,1,20,0,20,20.0,self
agent0bb,1,30,0,30,30.0,self
agent0bc,1,5,0,5,5.0,self
agent0bd,1,4,0,4,4.0,self
agent0be,1,19,0,19,19.0,self
agent0bf,1,42,0,42,42.0,self
agent0c0,1,41,0,41,41.0,self
agent0c1,1,42,0,42,42.0,self
agent0c2,1,37,0,37,37.0,self
agent0c3,1,26,0,26,26.0,self
agent0c4,1,41,0,41,41.0,self
agent0c5,1,28,0,28,28.0,self
agent0c6,1,24,0,24,24.0,self
agent0c7,1,18,0,18,18.0,self
agent000,2,32,0,32,32.0,self
agent001,2,39,0,39,39.0,self
agent002,2,7,0,7,7.0,self
agent003,2,25,0,25,25.0,self
agent004,2,29,0,29,29.0,self
agent005,2,20,0,20,20.0,self
