agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent01b,1,28,39,28,28.0,self,3
agent01c,1,24,39,24,24.0,self,1
agent01d,1,32,36,32,32.0,self,3
agent01e,1,21,18,21,21.0,self,2
agent01f,1,12,34,12,12.0,self,2
agent020,1,18,6,18,18.0,self,2
agent021,1,12,9,12,12.0,self,3
agent022,1,18,43,18,18.0,self,3
agent023,1,34,20,34,34.0,self,1
agent024,1,14,20,14,14.0,self,1
agent025,1,3,22,3,3.0,self,1
agent026,1,8,28,8,8.0,self,2
agent027,1,18,20,18,18.0,self,2
agent028,1,28,28,28,28.0,self,1
agent029,1,43,22,43,43.0,self,2
agent02a,1,6,41,6,6.0,self,2
agent02b,1,26,28,26,26.0,self,1
agent02c,1,25,20,25,25.0,self,3
agent02d,1,32,37,32,32.0,self,3
agent02e,1,20,21,20,20.0,self,1
agent02f,1,22,41,22,22.0,self,2
agent030,1,37,18,37,37.0,self,1
agent031,1,28,41,28,28.0,self,3
agent032,1,27,22,27,27.0,self,1
agent033,1,18,39,18,18.0,self,3
agent034,1,4,20,4,4.0,self,1
agent035,1,20,18,20,20.0,self,1
agent036,1,22,20,22,22.0,self,2
agent037,1,36,18,36,36.0,self,3
agent038,1,24,20,24,24.0,self,3
agent039,1,39,6,39,39.0,self,3
agent03a,1,34,20,34,34.0,self,2
agent03b,1,11,20,11,11.0,self,3
agent03c,1,28,39,28,28.0,self,3
agent03d,1,42,39,42,42.0,self,2
agent03e,1,10,39,10,10.0,self,2
agent03f,1,27,16,27,27.0,self,1
agent040,1,18,41,18,18.0,self,1
agent041,1,35,28,35,35.0,self,1
agent042,1,16,20,16,16.0,self,2
agent043,1,20,20,20,20.0,self,2
agent044,1,7,20,7,7.0,self,1
agent045,1,43,18,43,43.0,self,3
agent046,1,37,6,37,37.0,self,3
agent047,1,19,26,19,19.0,self,2
agent048,1,20,20,20,20.0,self,1
agent049,1,39,20,39,39.0,self,2
