iteration, occupied land ratio, profit factor
270,0.9736,0.13199999999999967
271,0.973675,0.13162500000000055
272,0.97375,0.13124999999999964
273,0.973825,0.13087499999999963
274,0.9739,0.13049999999999962
275,0.973975,0.1301249999999996
276,0.97405,0.12975000000000048
277,0.974125,0.12937499999999957
278,0.9742,0.12900000000000045
279,0.974275,0.12862499999999955
280,0.97435,0.12824999999999953
281,0.974425,0.1278750000000004
282,0.9745,0.1274999999999995
283,0.974575,0.12712500000000038
284,0.97465,0.12674999999999947
285,0.974725,0.12637500000000035
286,0.9748,0.12600000000000033
287,0.974875,0.12562499999999943
288,0.97495,0.1252500000000003
289,0.975025,0.1248749999999994
290,0.9751,0.12450000000000028
291,0.975175,0.12412500000000026
292,0.97525,0.12375000000000025
293,0.975325,0.12337500000000023
294,0.9754,0.12299999999999933
295,0.975475,0.1226250000000002
296,0.97555,0.12225000000000019
297,0.975625,0.12187500000000018
298,0.9757,0.12150000000000016
299,0.975775,0.12112500000000015
300,0.97585,0.12075000000000014
301,0.975925,0.12037500000000012
302,0.976,0.1200000000000001
303,0.976075,0.11962500000000009
304,0.97615,0.11925000000000008
305,0.976225,0.11887500000000006
306,0.9763,0.11850000000000005
307,0.976375,0.11812500000000004
308,0.97645,0.11775000000000002
309,0.976525,0.11737500000000001
310,0.9766,0.11699999999999999
311,0.976675,0.11662499999999998
312,0.97675,0.11624999999999996
313,0.976825,0.11587499999999995
314,0.9769,0.11549999999999994
315,0.976975,0.11512499999999992
316,0.97705,0.11474999999999991
317,0.977125,0.1143749999999999
318,0.977175,0.11412499999999959
319,0.977225,0.11387500000000017
320,0.977275,0.11362499999999986
321,0.977325,0.11337499999999956
322,0.977375,0.11312500000000014
323,0.977425,0.11287499999999984
324,0.977475,0.11262500000000042
325,0.977525,0.11237500000000011
326,0.977575,0.11212499999999981
327,0.977625,0.11187500000000039
328,0.977675,0.11162500000000009
329,0.977725,0.11137500000000067
330,0.977775,0.11112500000000036
331,0.977825,0.11087500000000006
332,0.97785,0.11075000000000035
333,0.977875,0.11062499999999975
334,0.9779,0.11050000000000004
335,0.977925,0.11037499999999945
336,0.97795,0.11024999999999974
337,0.977975,0.11012500000000003
338,0.978,0.11000000000000032
339,0.978025,0.10987499999999972
340,0.97805,0.10975000000000001
341,0.978075,0.10962499999999942
342,0.9781,0.1095000000000006
343,0.978125,0.109375
344,0.97815,0.10925000000000029
345,0.978175,0.1091249999999997
346,0.9782,0.10899999999999999
347,0.978225,0.10887500000000028
348,0.97825,0.10875000000000057
349,0.978275,0.10862499999999997
350,0.9783,0.10850000000000026
351,0.978325,0.10837499999999967
352,0.97835,0.10824999999999996
353,0.978375,0.10812500000000025
354,0.9784,0.10799999999999965
355,0.978425,0.10787499999999994
356,0.97845,0.10774999999999935
357,0.978475,0.10762500000000053
358,0.9785,0.10749999999999993
359,0.978525,0.10737500000000022
360,0.97855,0.10724999999999962
361,0.978575,0.10712499999999991
362,0.9786,0.1070000000000002
363,0.978625,0.1068750000000005
364,0.97865,0.1067499999999999
365,0.978675,0.10662500000000019
366,0.9787,0.1064999999999996
367,0.978725,0.10637499999999989
368,0.97875,0.10625000000000018
369,0.978775,0.10612500000000047
370,0.9788,0.10599999999999987
371,0.978825,0.10587500000000016
372,0.97885,0.10575000000000045
373,0.978875,0.10562499999999986
374,0.9789,0.10550000000000015
375,0.978925,0.10537499999999955
376,0.97895,0.10524999999999984
377,0.978975,0.10512500000000014
378,0.979,0.10500000000000043
379,0.979025,0.10487499999999983
380,0.97905,0.10475000000000012
381,0.979075,0.10462499999999952
382,0.9791,0.10449999999999982
383,0.979125,0.1043750000000001
384,0.97915,0.1042500000000004
385,0.979175,0.1041249999999998
386,0.9792,0.10400000000000009
387,0.979225,0.10387500000000038
388,0.97925,0.10374999999999979
389,0.979275,0.10362500000000008
390,0.9793,0.10350000000000037
391,0.979325,0.10337499999999977
392,0.97935,0.10325000000000006
393,0.979375,0.10312500000000036
394,0.9794,0.10299999999999976
395,0.979425,0.10287500000000005
396,0.97945,0.10274999999999945
397,0.979475,0.10262499999999974
398,0.9795,0.10250000000000004
399,0.979525,0.10237500000000033
400,0.97955,0.10224999999999973
401,0.979575,0.10212500000000002
402,0.9796,0.10200000000000031
403,0.979625,0.10187499999999972
404,0.97965,0.10175000000000001
405,0.979675,0.1016250000000003
406,0.9797,0.1014999999999997
407,0.979725,0.10137499999999999
408,0.97975,0.10125000000000028
409,0.979775,0.10112500000000058
410,0.9798,0.10099999999999998
411,0.979825,0.10087500000000027
412,0.97985,0.10074999999999967
413,0.979875,0.10062499999999996
414,0.9799,0.10050000000000026
415,0.979925,0.10037499999999966
416,0.97995,0.10024999999999995
417,0.979975,0.10012500000000024
418,0.98,0.09999999999999964
