iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, QUART
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent0c3,0,16,31,16,16.0,self,3
agent0c4,0,15,12,15,15.0,self,1
agent0c5,0,2,23,2,2.0,self,1
agent0c6,0,27,13,27,27.0,self,2
agent0c7,0,3,30,7,7.0,norm,6
agent000,1,38,3,24,24.0,norm,13
agent001,1,16,16,16,16.0,self,1
agent002,1,14,33,14,14.0,self,1
agent003,1,39,32,39,39.0,self,1
agent004,1,17,19,17,17.0,self,2
agent005,1,28,30,28,28.0,self,2
agent006,1,25,16,25,25.0,self,2
agent007,1,4,41,4,4.0,self,1
agent008,1,44,17,43,43.0,norm,1
agent009,1,32,18,32,32.0,self,1
agent00a,1,19,35,19,19.0,self,1
agent00b,1,36,33,36,36.0,self,3
agent00c,1,33,4,33,33.0,self,1
agent00d,1,14,39,14,14.0,self,2
agent00e,1,34,4,34,34.0,self,1
agent00f,1,17,24,17,17.0,self,3
agent010,1,41,26,41,41.0,self,2
agent011,1,24,8,24,24.0,self,2
agent012,1,13,24,13,13.0,self,1
agent013,1,37,21,37,37.0,self,3
agent014,1,18,43,18,18.0,self,3
agent015,1,18,12,18,18.0,self,1
agent016,1,31,6,31,31.0,self,1
agent017,1,38,3,38,38.0,self,2
agent018,1,21,3,21,21.0,self,3
agent019,1,36,26,36,36.0,self,3
agent01a,1,13,32,13,13.0,self,1
agent01b,1,16,42,16,16.0,self,1
agent01c,1,13,34,13,13.0,self,3
agent01d,1,38,40,38,38.0,self,3
agent01e,1,19,27,19,19.0,self,1
agent01f,1,42,17,42,42.0,self,1
agent020,1,45,33,45,45.0,self,3
agent021,1,7,25,7,7.0,self,2
agent022,1,26,28,26,26.0,self,3
agent023,1,16,21,16,16.0,self,1
agent024,1,23,42,23,23.0,self,1
agent025,1,40,44,40,40.0,self,3
agent026,1,43,28,43,43.0,self,3
agent027,1,10,43,10,10.0,self,3
agent028,1,30,23,30,30.0,self,1
agent029,1,30,20,30,30.0,self,3
agent02a,1,31,34,31,31.0,self,2
agent02b,1,10,38,10,10.0,self,3
agent02c,1,41,38,41,41.0,self,2
agent02d,1,29,23,29,29.0,self,1
agent02e,1,9,22,9,9.0,self,1
agent02f,1,17,40,17,17.0,self,1
agent030,1,20,8,20,20.0,self,1
agent031,1,26,44,23,23.0,norm,0
agent032,1,40,24,40,40.0,self,1
agent033,1,9,19,9,9.0,self,1
agent034,1,23,8,23,23.0,self,1
agent035,1,9,13,9,9.0,self,2
agent036,1,24,21,24,24.0,self,3
agent037,1,4,8,4,4.0,self,1
agent038,1,19,8,19,19.0,self,2
agent039,1,8,30,8,8.0,self,1
agent03a,1,30,9,30,30.0,self,3
agent03b,1,44,33,42,42.0,norm,0
agent03c,1,11,21,11,11.0,self,1
agent03d,1,8,33,8,8.0,self,1
agent03e,1,13,20,13,13.0,self,3
agent03f,1,12,10,12,12.0,self,2
agent040,1,10,30,10,10.0,self,1
agent041,1,31,12,31,31.0,self,3
agent042,1,31,32,31,31.0,self,3
agent043,1,32,32,32,32.0,self,2
agent044,1,34,39,34,34.0,self,2
agent045,1,23,29,23,23.0,self,1
agent046,1,14,37,14,14.0,self,2
agent047,1,6,12,6,6.0,self,2
agent048,1,42,38,42,42.0,self,1
agent049,1,28,44,28,28.0,self,2
agent04a,1,30,41,30,30.0,self,3
agent04b,1,39,27,39,39.0,self,2
agent04c,1,32,26,32,32.0,self,1
agent04d,1,28,40,28,28.0,self,3
agent04e,1,44,28,44,44.0,self,3
agent04f,1,39,35,39,39.0,self,2
agent050,1,8,19,8,8.0,self,1
agent051,1,32,27,32,32.0,self,1
agent052,1,27,16,27,27.0,self,2
agent053,1,22,43,22,22.0,self,2
agent054,1,31,41,31,31.0,self,3
agent055,1,42,23,24,24.0,norm,16
agent056,1,18,28,18,18.0,self,2
agent057,1,12,38,12,12.0,self,1
agent058,1,36,34,36,36.0,self,2
agent059,1,46,9,46,46.0,self,3
agent05a,1,34,42,34,34.0,self,3
